File ID,Hoofdcompetentie,Subcompetentie,Percentage,Perc_Group
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Nauwkeurigheid,41,1
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Organisatiesensitiviteit,47,1
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Klantoriëntatie,25,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Kwaliteitsgerichtheid,41,1
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Ondernemerschap,20,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Overtuigingskracht,20,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Aansturen van groepen,28,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Aansturen van individuen,20,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Coachen van medewerkers,32,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Onderhandelen,24,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatie vermogen,Plannen en organiseren,23,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatie vermogen,Delegeren,27,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatie vermogen,Voortgangscontrole,22,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Sensitiviteit,37,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Samenwerking,40,1
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Optreden,13,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Relatiebeheer,17,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Sociabiliteit,20,0
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Relationeel vermogen,Assertiviteit,27,0
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Initiatief,42,1
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Besluitvaardigheid,37,0
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Flexibiliteit,71,2
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Stressbestendigheid,79,2
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Ambitie,79,2
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Zelfstandigheid,52,1
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Doorzettingsvermogen,61,1
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Resultaatgerichtheid,65,1
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Leerbereidheid,81,2
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Inzet,55,1
061a8da0-102b-58ec-9536-67e4018e4894,Persoonlijke gerichtheid,Nauwkeurigheid,46,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatiegerichtheid,Organisatiesensitiviteit,56,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatiegerichtheid,Klantoriëntatie,62,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatiegerichtheid,Kwaliteitsgerichtheid,54,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatiegerichtheid,Ondernemerschap,57,1
061a8da0-102b-58ec-9536-67e4018e4894,Beïnvloedend vermogen,Overtuigingskracht,55,1
061a8da0-102b-58ec-9536-67e4018e4894,Beïnvloedend vermogen,Aansturen van groepen,52,1
061a8da0-102b-58ec-9536-67e4018e4894,Beïnvloedend vermogen,Aansturen van individuen,56,1
061a8da0-102b-58ec-9536-67e4018e4894,Beïnvloedend vermogen,Coachen van medewerkers,55,1
061a8da0-102b-58ec-9536-67e4018e4894,Beïnvloedend vermogen,Onderhandelen,62,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatie vermogen,Plannen en organiseren,52,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatie vermogen,Delegeren,63,1
061a8da0-102b-58ec-9536-67e4018e4894,Organisatie vermogen,Voortgangscontrole,41,1
