File ID,Hoofdcompetentie,Subcompetentie,Percentage
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Voortgangscontrole,27
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Sensitiviteit,60
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Samenwerking,43
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Optreden,24
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Relatiebeheer,19
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Sociabiliteit,41
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Assertiviteit,37
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Initiatief,75
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Besluitvaardigheid,48
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Flexibiliteit,72
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Stressbestendigheid,67
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Ambitie,63
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Zelfstandigheid,31
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Doorzettingsvermogen,54
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Resultaatgerichtheid,53
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Leerbereidheid,62
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Inzet,66
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Persoonlijke gerichtheid,Nauwkeurigheid,64
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatiegerichtheid,Organisatiesensitiviteit,62
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatiegerichtheid,Klantoriëntatie,69
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatiegerichtheid,Kwaliteitsgerichtheid,63
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatiegerichtheid,Ondernemerschap,66
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Beïnvloedend vermogen,Overtuigingskracht,67
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Beïnvloedend vermogen,Aansturen van groepen,60
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Beïnvloedend vermogen,Aansturen van individuen,69
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Beïnvloedend vermogen,Coachen van medewerkers,64
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Beïnvloedend vermogen,Onderhandelen,58
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatie vermogen,Plannen en organiseren,64
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatie vermogen,Delegeren,75
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Organisatie vermogen,Voortgangscontrole,65
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Sensitiviteit,71
