,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
958,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Variatiebehoefte,0.4890812132043304,0.3801058731119256,-0.10897534009240478,0.03793993999995929,0.07587987999991858
979,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Vertrouwen,0.4530515222556722,0.514683767769058,0.06163224551338581,0.02900940380241828,0.05801880760483656
992,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Vertrouwen,0.4528238599483493,0.514683767769058,0.061859907820708715,0.02900940380241828,0.05801880760483656
1003,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Volharding,0.512391895472064,0.5979615332506438,0.08556963777857984,0.030028817092634368,0.060057634185268736
1008,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Volharding,0.6587591771325105,0.5979615332506438,-0.0607976438818667,0.030028817092634368,0.060057634185268736
1009,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Volharding,0.5354608213966117,0.5979615332506438,0.06250071185403216,0.030028817092634368,0.060057634185268736
1028,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Weloverwogen,0.19125921305936244,0.29977384708873084,0.1085146340293684,0.03828387668483856,0.07656775336967712
1067,c22e1828-5784-556c-a41b-541e88bbe819,Conformisme,Zelfonthulling,0.11476717210243592,0.243017185771006,0.12825001366857008,0.03309965360168108,0.06619930720336216
1078,eb695653-6a34-557a-aa9b-90a16a666a9b,Conformisme,Zelfontwikkeling,0.4890496800270429,0.5810743123847892,0.09202463235774633,0.03265318442663826,0.06530636885327652
1079,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Zelfontwikkeling,0.5058737474688006,0.5810743123847892,0.07520056491598859,0.03265318442663826,0.06530636885327652
1108,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Conformisme,Zelfvertoon,0.10486120866546683,-0.07233393492970545,-0.1771951435951723,0.048304489369802965,0.09660897873960593
1111,980717fa-cb0e-5995-a07f-d7eabf81f302,Conformisme,Zelfvertoon,-0.17915069179971882,-0.07233393492970545,0.10681675687001337,0.048304489369802965,0.09660897873960593
1134,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Zelfvertrouwen,0.15462214570287275,0.2656948697685335,0.11107272406566077,0.044520724539833516,0.08904144907966703
1135,645025be-9089-5afa-a2e1-5b77a6593f13,Conformisme,Zelfvertrouwen,0.39542642472826106,0.2656948697685335,-0.12973155495972755,0.044520724539833516,0.08904144907966703
1154,24e2d531-6fab-5f5b-9282-a488302c6547,Conformisme,Zorgzaamheid,0.43451988605903075,0.3320390533674711,-0.10248083269155966,0.047730970895414386,0.09546194179082877
1159,3e44802d-3364-5f3a-af67-a038e335a656,Conformisme,Zorgzaamheid,0.22264930152958176,0.3320390533674711,0.10938975183788932,0.047730970895414386,0.09546194179082877
1178,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Dominantie,0.5612619599948903,0.4558823529411764,-0.10537960705371385,0.038344941853137485,0.07668988370627497
1189,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Dominantie,0.36436385689026457,0.4558823529411764,0.09151849605091184,0.038344941853137485,0.07668988370627497
1203,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Energie,0.6285320806524654,0.6984173839695067,0.06988530331704135,0.02479135579945519,0.04958271159891038
1216,61369f33-c11d-5d29-80ed-d751b8246cd1,Contactbehoefte,Energie,0.7550272936351446,0.6984173839695067,-0.05660990966563795,0.02479135579945519,0.04958271159891038
1228,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Frustratietolerantie,0.22716844980576847,0.36509825132802176,0.1379298015222533,0.03784597525386388,0.07569195050772776
1253,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Hartelijkheid,0.6962780534174018,0.7500162314825856,0.05373817806518377,0.01818756917176239,0.03637513834352478
1254,24e2d531-6fab-5f5b-9282-a488302c6547,Contactbehoefte,Hartelijkheid,0.7878022502155809,0.7500162314825856,-0.03778601873299536,0.01818756917176239,0.03637513834352478
1278,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Incasseringsvermogen,0.21417646843905971,0.3102358467576124,0.09605937831855269,0.033086391898642924,0.06617278379728585
